source,level,rank,russian,translations,detail_path,page_url
openrussian,B2,1,разви́тие,development,/ru/%D1%80%D0%B0%D0%B7%D0%B2%D0%B8'%D1%82%D0%B8%D0%B5,https://en.openrussian.org/vocab/B2
openrussian,B2,2,ва́жный,important,/ru/%D0%B2%D0%B0'%D0%B6%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/B2
openrussian,B2,3,банк,bank (financial establishment),/ru/%D0%B1%D0%B0%D0%BD%D0%BA,https://en.openrussian.org/vocab/B2
openrussian,B2,4,сове́т,advice,/ru/%D1%81%D0%BE%D0%B2%D0%B5'%D1%82,https://en.openrussian.org/vocab/B2
openrussian,B2,5,сто́лько,so much,/ru/%D1%81%D1%82%D0%BE'%D0%BB%D1%8C%D0%BA%D0%BE,https://en.openrussian.org/vocab/B2
openrussian,B2,6,возвраща́ться,return,/ru/%D0%B2%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B0'%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/B2
openrussian,B2,7,тру́бка,tube; roll; telephone receiver; tobacco pipe; snorkel,/ru/%D1%82%D1%80%D1%83'%D0%B1%D0%BA%D0%B0,https://en.openrussian.org/vocab/B2
openrussian,B2,8,ладо́нь,palm (of the hand); clearly view,/ru/%D0%BB%D0%B0%D0%B4%D0%BE'%D0%BD%D1%8C,https://en.openrussian.org/vocab/B2
openrussian,B2,9,желе́зный,iron (adj),/ru/%D0%B6%D0%B5%D0%BB%D0%B5'%D0%B7%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/B2
openrussian,B2,10,ока́зываться,turn out to be; to find oneself in a situation; = быть (часто используется в отрицательном смысле),/ru/%D0%BE%D0%BA%D0%B0'%D0%B7%D1%8B%D0%B2%D0%B0%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/B2
openrussian,B2,11,институ́т,institute; institution,/ru/%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83'%D1%82,https://en.openrussian.org/vocab/B2
openrussian,B2,12,потеря́ть,lose,/ru/%D0%BF%D0%BE%D1%82%D0%B5%D1%80%D1%8F'%D1%82%D1%8C,https://en.openrussian.org/vocab/B2
openrussian,B2,13,прави́тельство,government; administration,/ru/%D0%BF%D1%80%D0%B0%D0%B2%D0%B8'%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE,https://en.openrussian.org/vocab/B2
openrussian,B2,14,остально́й,the rest of,/ru/%D0%BE%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE'%D0%B9,https://en.openrussian.org/vocab/B2
openrussian,B2,15,вы́пить,drink; take a drink,/ru/%D0%B2%D1%8B'%D0%BF%D0%B8%D1%82%D1%8C,https://en.openrussian.org/vocab/B2
openrussian,B2,16,пока́зывать,show,/ru/%D0%BF%D0%BE%D0%BA%D0%B0'%D0%B7%D1%8B%D0%B2%D0%B0%D1%82%D1%8C,https://en.openrussian.org/vocab/B2
openrussian,B2,17,иде́я,idea,/ru/%D0%B8%D0%B4%D0%B5'%D1%8F,https://en.openrussian.org/vocab/B2
openrussian,B2,18,то́чка,dot: period; point (physical place),/ru/%D1%82%D0%BE'%D1%87%D0%BA%D0%B0,https://en.openrussian.org/vocab/B2
openrussian,B2,19,у́ровень,level; gauge; rate,/ru/%D1%83'%D1%80%D0%BE%D0%B2%D0%B5%D0%BD%D1%8C,https://en.openrussian.org/vocab/B2
openrussian,B2,20,профе́ссор,professor,/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5'%D1%81%D1%81%D0%BE%D1%80,https://en.openrussian.org/vocab/B2
