source,level,rank,russian,translations,detail_path,page_url
openrussian,C2,1,козёл,male-goat; Asshole,/ru/%D0%BA%D0%BE%D0%B7%D1%91%D0%BB,https://en.openrussian.org/vocab/C2
openrussian,C2,2,лечи́ть,heal,/ru/%D0%BB%D0%B5%D1%87%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/C2
openrussian,C2,3,вы́тереть,wipe in order to make clean or dry,/ru/%D0%B2%D1%8B'%D1%82%D0%B5%D1%80%D0%B5%D1%82%D1%8C,https://en.openrussian.org/vocab/C2
openrussian,C2,4,внеза́пный,sudden,/ru/%D0%B2%D0%BD%D0%B5%D0%B7%D0%B0'%D0%BF%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/C2
openrussian,C2,5,удивле́нно,surprisingly,/ru/%D1%83%D0%B4%D0%B8%D0%B2%D0%BB%D0%B5'%D0%BD%D0%BD%D0%BE,https://en.openrussian.org/vocab/C2
openrussian,C2,6,надо́лго,for a long time,/ru/%D0%BD%D0%B0%D0%B4%D0%BE'%D0%BB%D0%B3%D0%BE,https://en.openrussian.org/vocab/C2
openrussian,C2,7,раб,slave,/ru/%D1%80%D0%B0%D0%B1,https://en.openrussian.org/vocab/C2
openrussian,C2,8,максима́льный,maximum,/ru/%D0%BC%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%B0'%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9,https://en.openrussian.org/vocab/C2
openrussian,C2,9,включа́ть,include; switch on,/ru/%D0%B2%D0%BA%D0%BB%D1%8E%D1%87%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/C2
openrussian,C2,10,привле́чь,to attract; draw attention,/ru/%D0%BF%D1%80%D0%B8%D0%B2%D0%BB%D0%B5'%D1%87%D1%8C,https://en.openrussian.org/vocab/C2
openrussian,C2,11,преврати́ть,turn into,/ru/%D0%BF%D1%80%D0%B5%D0%B2%D1%80%D0%B0%D1%82%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/C2
openrussian,C2,12,наверху́,above; upstairs,/ru/%D0%BD%D0%B0%D0%B2%D0%B5%D1%80%D1%85%D1%83',https://en.openrussian.org/vocab/C2
