level,word,extra,translation
B1,я́блоко,,apple
B1,явля́ться,только нсв I,"to appear, to present, to be"
B1,я́года,,berry
B1,язы́к,1,tongue
B1,язы́к,2,language
B1,яйцо́,р.п. мн.ч. яи́ц,egg
B1,янва́рь,,January
B1,я́ркий,"(-ая, -ое, -ие); я́рко; сравн.ст. я́рче 1) я́ркий свет 2) я́ркая ли́чность","address — postal address, e-mail"
B1,ба́бушка,р.п. мн.ч. ба́бушек,grandmother
B1,бага́ж,только ед.ч.,luggage
B1,балери́на,,ballerina
B1,бале́т,,ballet
B1,балко́н,,balcony
B1,бана́н,,banana
B1,бандеро́ль,ж.р.,post package
B1,банк,,bank
B1,ба́нка,р.п. мн.ч. ба́нок,"can, pot"
B1,баскетбо́л,только ед.ч.,basketball
B1,баскетболи́ст,ж.р. баскетболи́стка; р.п. мн.ч. баскетболи́сток,basketball player
B1,бассе́йн,,swimming pool
B1,бато́н,,long loaf
B1,ба́шня,р.п. мн.ч. ба́шен,tower
B1,бе́гать,нсв I,to run
B1,бе́дный,"(-ая, -ое, -ые); бе́дно 1) Он бе́дный челове́к: у него́ нет де́нег. 2) Бе́дный Оле́г, он так до́лго боле́ет!","poor; poorly 1) He is a poor man: he has no money. 2) Poor Oleg, he has been ill for so long!"
B1,бежа́ть,"(бегу́, бежи́шь) только нсв I — побежа́ть (побегу́, побежи́шь) cв",to run
B1,без,(безо) + р.п.,without
B1,бейсбо́л,только ед.ч.,baseball
B1,бе́лый,"(-ая, -ое, -ые)",white
B1,бензи́н,только ед.ч.,"benzine, petrol, gas, fuel"
B1,бе́рег,,"bank (of a river), shore"
B1,берёза,,birch
B1,бере́чь,"(берегу́, бережёшь; прош.вр. берёг, берегла́, берегли́) нсв I — сбере́чь (сберегу́, сбережёшь; прош. вр. сберёг, сберегла́, сберегли́) св I","to keep, to save"
B1,бесе́да,,conversation
B1,бесе́довать,"(бесе́дую, бесе́дуешь) нсв I — побесе́довать (побесе́дую, побесе́дуешь) св I",to speak about
B1,беспла́тный,"прил. (-ая, -ое, -ые); нар. беспла́тно",free; free
B1,беспоко́иться,нсв II,to worry about
B1,библиоте́ка,,library
B1,библиоте́карь,,librarian
B1,би́знес,только ед.ч.,business
B1,бизнесме́н,,businessman
B1,биле́т,1) биле́т на по́езд 2) биле́т на конце́рт 3) экзаменацио́нный биле́т,ticket 1) train ticket 2) concert ticket 3) exam paper
B1,биогра́фия,,biography
B1,био́лог,,biologist
B1,биологи́ческий,"(-ая, -ое, -ие)",biological
B1,биоло́гия,только ед.ч.,biology
B1,бить,"(бью, бьёшь) нсв I — изби́ть (изобью́, изобьёшь) св I; разби́ть (разобью́, разобьёшь) св I 1) кого? — Его́ изби́ли. 2) что? — Ива́н разби́л стака́н.",to beat (up); to break 1) He was beaten up. 2) Ivan broke the glass.
B1,благодари́ть,нсв I — поблагодари́ть cв II,to thank
B1,бланк,,form
B1,бле́дный,"(-ая, -ое, -ые)",pale
B1,бли́зкий,"(-ая, -ое, -ие); бли́зко; сравн.ст. бли́же 1) Апте́ка бли́зко. 2) Э́то на́ши бли́зкие ро́дственники. 3) Анто́н — мой бли́зкий друг.","near, close; near, closely; nearer, closer 1) The chemist’s is nearby. 2) These are our close relatives. 3) Anton is my close friend."
B1,блю́до,1) сере́бряное блю́до 2) вку́сное блю́до,dish 1) silver dish 2) tasty dish
B1,бог,,God
B1,бога́тство,,richness
B1,бога́тый,"(-ая, -ое, -ые); бога́то",rich; richly
B1,бой,,"battle, combat"
B1,бо́лее,,more
B1,боле́знь,ж.р.,illness
B1,боле́льщик,,fan
B1,боле́ть,нсв I — заболе́ть 1 св I 1) чем? — гри́ппом 2) за кого? за что? только нсв — боле́ть за футбо́льную кома́нду,to be ill — to fall ill 1) to have flue 2) to be a fan
B1,боле́ть,нсв I — заболе́ть 2 (1 и 2 л. не употр.) св I — боли́т голова́,to ache — Head is aching.
B1,больни́ца,,hospital
B1,больно́й,"прил. (-а́я, -о́е, -ы́е); кр. прил. бо́лен (-на́, -но́, -ны́); нар. бо́льно 1) больно́й зуб 2) больно́е о́бщество","ill, sore; painful 1) sore tooth 2) ill society"
B1,больно́й,"сущ. (-а́я, -ы́е)","sick man, patient"
B1,большинство́,только ед.ч.,majority
B1,большо́й,"(-а́я, -о́е, -и́е); сравн. ст. бо́льше","big; bigger, more"
B1,борода́,,beard
B1,боро́ться,"(борю́сь, бо́решься) только нсв I",to fight
B1,борщ,,borsch (red beet soup)
B1,борьба́,только ед.ч. 1) соревнова́ния по борьбе́ 2) борьба́ с инфля́цией,fight 1) competition in fight 2) fight against inflation
B1,боти́нки,"мн.ч.; р.п. мн.ч. боти́нок; ед.ч. боти́нок, р.п. ед.ч. боти́нка",boots; boot
B1,боя́ться,"(бою́сь, бои́шься) только нсв II + инф.",to be afraid
B1,брат,"мн.ч. бра́тья, р.п. мн.ч. бра́тьев",brother
B1,брать,"(беру́, берёшь) нсв I — взять (возьму́, возьмёшь) св I 1) взять ребёнка на́ руки 2) брать бра́та в кино́, ве́щи в пое́здку 3) взять биле́ты в теа́тр 4) брать де́ньги в долг 5) взять такси́","to take 1) to take child in one’s arms 2) to take brother to the cinema, to take things in the journey 3) to buy theater tickets 4) to borrow money 5) to take taxi"
B1,бри́ться,"(бре́юсь, бре́ешься) нсв I — побри́ться (побре́юсь, побре́ешься) св I",to shave
B1,броса́ть,"нсв I — бро́сить (бро́шу, бро́сишь) св II + инф. 1) броса́ть мяч 2) бро́сить кури́ть 3) бро́сить рабо́ту, семью́","to throw, to leave, to give up 1) to throw ball 2) to give up smoking 3) to leave job, to leave family"
B1,брю́ки,только мн.ч.,trousers
B1,бу́дущее,"сущ., только ед.ч.",future
B1,бу́дущий,"прил. (-ая, -ее, -ие)",future
B1,бу́ква,,"letter, character"
B1,бу́лочка,р.п. мн.ч. бу́лочек,baked roll
B1,бу́лочная,сущ. (-ые),bakery shop
B1,бума́га,1) только ед.ч. — бума́га для письма́ 2) подписа́ть бума́ги у дире́ктора,paper 1) paper for writing 2) to sign papers at the director’s office
B1,бутербро́д,,sandwich
B1,буты́лка,р.п. мн.ч. буты́лок,bottle
B1,буфе́т,,buffet
B1,бы,(б) — Если б я знал...; я хоте́л бы...,if — If only I knew...; I would like to...
B1,быва́ть,нсв I — побыва́ть св I 1) 1 и 2 л. не употр. — Таки́е слу́чаи быва́ют ре́дко. 2) где? — Бори́с ча́сто быва́ет в Петербу́рге.,"to occur, to happen, to visit 1) Such occasions happen seldom. 2) Boris often visits Petersburg."
B1,бы́вший,"(-ая, -ее, -ие)","former, ex"
B1,бы́стрый,"прил. (-ая, -ое, -ые); нар. бы́стро",fast; fast
B1,быть,"(бу́ду, бу́дешь) только нсв I 1) где? у кого? — Мы бы́ли на да́че, у дру́га. 2) Вчера́ был дождь. 3) кем? — Пе́тя хо́чет быть инжене́ром.",to be 1) We were by our friend at his datcha. 2) Yesterday it was raining. 3) Petya wants to be an engineer.
B1,в,"(во) 1) в.п. куда? — войти́ в ко́мнату 2) в.п. когда? — в сре́ду 3) п.п. когда? — в январе́, в де́тстве 4) п.п. где? — быть в музе́е 5) п.п. в чём? — де́вушка в ку́ртке","to, in, at, on, into 1) to enter the room 2) on Wednesday 3) in January, in the childhood 4) in the museum 5) girl in the jacket"
B1,ваго́н,,"coach, carriage"
B1,ва́жный,"прил. (-ая, -ое, -ые); нар. ва́жно",important; it’s important
B1,ва́за,,vase
B1,ва́нная,cущ.,bathroom
B1,вари́ть,нсв II — свари́ть св II,"to cook, to boil"
B1,ваш,"(-а, -е, -и)",your
B1,вверх,,upwards
B1,вверху́,,above
B1,вдруг,,suddenly
B1,ведь,,"indeed, but"
B1,ве́жливый,"(-ая, -ое, -ые); ве́жливо",polite; politely
B1,везде́,,"everywhere, all around the world"
B1,везти́,"1 (везу́, везёшь; прош.вр. вёз, везла́, везли́) только нсв I","to carry, to drive"
B1,век,,century
B1,вели́к,"(-а́, -о́, -и́) кр.ф. — Э́тот костю́м мне вели́к.","too big, oversized — This costume is too big for me."
B1,вели́кий,"(-ая, -ое, -ие)",great
B1,велосипе́д,,bicycle
B1,ве́рить,нсв II — пове́рить св II,to believe
B1,ве́рный,"(-ая, -ое, -ые); ве́рно 1) ве́рное реше́ние 2) ве́рный друг","correct, true; correctly 1) correct decision 2) true friend"
B1,ве́рхний,"(-яя, -ее, -ие)",upper
B1,весёлый,"(-ая, -ое, -ые); ве́село","merry, jolly; merrily"
B1,весе́нний,"(-яя, -ее, -ие)",spring
B1,весна́,"мн.ч. вёсны, р.п.мн.ч. вёсен; весно́й",spring; in spring
B1,вести́,"(веду́, ведёшь; прош.вр. вёл, вела́, вели́) нсв I 1) кого? куда? откуда? — вести́ сы́на из па́рка домо́й 2) что? — вести́ маши́ну 3) что? — ве́сти дома́шнее хозя́йство 4) что? — ве́сти дневни́к, разгово́р, уро́к 5) вести́ себя́ — Ребёнок ведёт себя́ хорошо́.","to conduct, to take, to lead, to drive 1) to bring son home from the park 2) to drive a car 3) to manage the house 4) to keep a diary, to hold conversation / classes 5) to behave — A child behaves himself."
B1,весь,"вся, всё, все",all
B1,ве́тер,р.п. ед.ч. ве́тра,wind
B1,ве́чер,ве́чером,evening; in the evening
B1,вече́рний,"прил. (-яя, -ее, -ие)",evening
B1,ве́шать,"нсв I — пове́сить (пове́шу, пове́сишь) св I",to hang
B1,вещь,ж.р.,thing
B1,взгляд,1) весёлый взгляд 2) взгляд на жизнь,"view, look 1) joyful look 2) view of life"
B1,взро́слый,"(-ая, -ое, -ые) прил.",adult
B1,ви́део,неизм.,video
B1,ви́деть,"(ви́жу, ви́дишь) нсв II — уви́деть (уви́жу, уви́дишь) св II",to see
B1,ви́за,,visa
B1,ви́лка,р.п. мн.ч. ви́лок,fork
B1,вино́,,wine
B1,виногра́д,только ед.ч.,grapes
B1,висе́ть,нсв II,to hang
B1,включа́ть,нсв I — включи́ть св II 1) что? — включи́ть телеви́зор 2) кого? — включи́ть его́ в соста́в делега́ции,to switch on; to include 1) to switch on TV 2) to include him in the delegation
