level,word,extra,translation
A2,ча́шка,р.п. мн.ч. ча́шек,cup
A2,чей,"чья, чьё, чьи",whose
A2,челове́к,мн.ч. лю́ди,"man, person"
A2,чемпио́н,,champion
A2,четве́рг,,Thursday
A2,четы́ре,,four
A2,четы́реста,,four hundred
A2,четы́рнадцать,,Hello!
A2,англи́йский,"прил. (-ая, -ое, -ие)",English
A2,англича́нин,сущ.; ж.р. англича́нка; мн.ч. англича́не,English (he); English (she)
A2,а́нгло-русский,"(ая, -ое, -ие) (испа́нско-ру́сский, кита́йско-ру́сский, неме́цко-ру́сский, францу́зско-ру́сский) (слова́рь)","English-Russian (Spanish-Russian, Chinese-Russian, German-Russian, French-Russian) (dictionary)"
A2,анке́та,,questionnaire
A2,апельси́н,,to applaud
A2,аппети́т,Прия́тного аппети́та!,appetite; Bon appétit! Enjoy your meal!
A2,апре́ль,,April
A2,апте́ка,,chemist’s
A2,арти́ст,ж.р. арти́стка; р.п. мн.ч. арти́сток,"actor (he), actress (she)"
A2,архите́ктор,,architect
A2,архитекту́ра,только ед.ч.,architecture
A2,аспира́нт,ж.р. аспира́нтка; р.п. мн.ч. аспира́нток,postgraduate student
A2,аспиранту́ра,,postgraduate study
A2,аудито́рия,,lecture-hall
A2,аэропо́рт,,airport
A2,ба́бушка,р.п. мн.ч. ба́бушек,grandmother
A2,бага́ж,только ед.ч.,luggage
A2,бале́т,,ballet
A2,банк,,bank
A2,баскетбо́л,только ед.ч.,basketball
A2,бассе́йн,,swimming pool
A2,бе́дный,"(-ая, -ое, -ые); бе́дно 1) Он бе́дный челове́к: у него́ нет де́нег. 2) Бе́дный Оле́г, он так до́лго боле́ет!","poor; poorly 1) He is a poor man: he has no money. 2) Poor Oleg, he has been ill for so long!"
A2,бежа́ть,"(бегу́, бежи́шь) только нсв I — побежа́ть (побегу́, побежи́шь) cв",to run
A2,без,(безо) + р.п.,without
A2,бейсбо́л,только ед.ч.,baseball
A2,бе́лый,"(-ая, -ое, -ые)",white
A2,бе́рег,,"bank (of a river), shore"
A2,беспла́тный,"прил. (-ая, -ое, -ые); нар. беспла́тно",free; free
A2,библиоте́ка,,library
A2,би́знес,только ед.ч.,business
A2,бизнесме́н,,businessman
A2,биогра́фия,,biography
A2,био́лог,,biologist
A2,биоло́гия,только ед.ч.,biology
A2,бить,"(бью, бьёшь) нсв I — изби́ть (изобью́, изобьёшь) св I; разби́ть (разобью́, разобьёшь) св I 1) кого? — Его́ изби́ли. 2) что? — Ива́н разби́л стака́н.",to beat (up); to break 1) He was beaten up. 2) Ivan broke the glass.
A2,благодари́ть,нсв I — поблагодари́ть cв II,to thank
A2,бли́зкий,"(-ая, -ое, -ие); бли́зко; сравн.ст. бли́же 1) Апте́ка бли́зко. 2) Э́то на́ши бли́зкие ро́дственники. 3) Анто́н — мой бли́зкий друг.","near, close; near, closely; nearer, closer 1) The chemist’s is nearby. 2) These are our close relatives. 3) Anton is my close friend."
A2,бог,,God
A2,бога́тый,"(-ая, -ое, -ые); бога́то",rich; richly
A2,больни́ца,,hospital
A2,больно́й,"прил. (-а́я, -о́е, -ы́е); кр. прил. бо́лен (-на́, -но́, -ны́); нар. бо́льно 1) больно́й зуб 2) больно́е о́бщество","ill, sore; painful 1) sore tooth 2) ill society"
A2,большо́й,"(-а́я, -о́е, -и́е); сравн. ст. бо́льше","big; bigger, more"
A2,брат,"мн.ч. бра́тья, р.п. мн.ч. бра́тьев",brother
A2,брать,"(беру́, берёшь) нсв I — взять (возьму́, возьмёшь) св I 1) взять ребёнка на́ руки 2) брать бра́та в кино́, ве́щи в пое́здку 3) взять биле́ты в теа́тр 4) брать де́ньги в долг 5) взять такси́","to take 1) to take child in one’s arms 2) to take brother to the cinema, to take things in the journey 3) to buy theater tickets 4) to borrow money 5) to take taxi"
A2,бу́дущий,"прил. (-ая, -ее, -ие)",future
A2,бу́ква,,"letter, character"
A2,бу́лочная,сущ. (-ые),bakery shop
A2,бума́га,1) только ед.ч. — бума́га для письма́ 2) подписа́ть бума́ги у дире́ктора,paper 1) paper for writing 2) to sign papers at the director’s office
A2,бутербро́д,,sandwich
A2,буты́лка,р.п. мн.ч. буты́лок,bottle
A2,быва́ть,нсв I — побыва́ть св I 1) 1 и 2 л. не употр. — Таки́е слу́чаи быва́ют ре́дко. 2) где? — Бори́с ча́сто быва́ет в Петербу́рге.,"to occur, to happen, to visit 1) Such occasions happen seldom. 2) Boris often visits Petersburg."
A2,бы́стрый,"прил. (-ая, -ое, -ые); нар. бы́стро",fast; fast
A2,быть,"(бу́ду, бу́дешь) только нсв I 1) где? у кого? — Мы бы́ли на да́че, у дру́га. 2) Вчера́ был дождь. 3) кем? — Пе́тя хо́чет быть инжене́ром.",to be 1) We were by our friend at his datcha. 2) Yesterday it was raining. 3) Petya wants to be an engineer.
